date,app,package,installs,rating,rating_count,version_seen,notes
2026-08-20,Bloom,com.cmpntech.tutor,30954,3.826,46,1.2.23,baseline; released 2026-04-24
2026-08-20,Eduro,com.eduro.app,67841,4.557,544,1.0.33,baseline; released 2025-11-26
